2024-03-17 16:07:21.083 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server jetty-10.0.19; built: 2023-12-15T20:38:32.477Z; git: 8492d1c78f122bb30cce20aecfa07e7283facd47; jvm 17.0.10+7
2024-03-17 16:07:23.413 WARN  (main) [c: s: r: x: t:] o.e.j.u.DeprecationWarning Using @Deprecated Class org.eclipse.jetty.servlet.listener.ELContextCleaner
2024-03-17 16:07:23.884 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Using logger factory org.apache.logging.slf4j.Log4jLoggerFactory
2024-03-17 16:07:23.992 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider  ___      _       Welcome to Apache Solr™ version 9.5.0
2024-03-17 16:07:24.000 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider / __| ___| |_ _   Starting in standalone mode on port 8983
2024-03-17 16:07:24.001 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider \__ \/ _ \ | '_|  Install dir: /opt/solr-9.5.0
2024-03-17 16:07:24.002 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider |___/\___/_|_|    Start time: 2024-03-17T16:07:24.002660689Z
2024-03-17 16:07:24.057 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr started with "-XX:+CrashOnOutOfMemoryError" that will crash on any OutOfMemoryError exception. The cause of the OOME will be logged in the crash file at the following path: /var/solr/logs/jvm_crash_17.log
2024-03-17 16:07:24.242 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr Home: /var/solr/data (source: system property: solr.solr.home)
2024-03-17 16:07:24.480 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrXmlConfig solr.xml not found in SOLR_HOME, using built-in default
2024-03-17 16:07:24.483 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrXmlConfig Loading solr.xml from /opt/solr-9.5.0/server/solr/solr.xml
2024-03-17 16:07:24.907 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrResourceLoader Added 1 libs to classloader, from paths: [/opt/solr-9.5.0/lib]
2024-03-17 16:07:28.974 INFO  (main) [c: s: r: x: t:] o.a.s.u.t.SimplePropagator Always-on trace id generation enabled.
2024-03-17 16:07:31.242 WARN  (main) [c: s: r: x: t:] o.a.s.u.StartupLoggingUtils Jetty request logging enabled. Will retain logs for last 3 days. See chapter "Configuring Logging" in reference guide for how to configure.
2024-03-17 16:07:31.270 WARN  (main) [c: s: r: x: t:] o.a.s.c.CoreContainer Not all security plugins configured!  authentication=disabled authorization=disabled.  Solr is only as secure as you make it. Consider configuring authentication/authorization before exposing Solr to users internal or external.  See https://s.apache.org/solrsecurity for more info
2024-03-17 16:07:32.412 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Found 1 core definitions underneath /var/solr/data
2024-03-17 16:07:32.419 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Cores are: [restaurants]
2024-03-17 16:07:32.707 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants t:] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.9.0
2024-03-17 16:07:33.532 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants t:] o.a.s.s.IndexSchema Schema name=default-config
2024-03-17 16:07:34.502 WARN  (main) [c: s: r: x: t:] o.g.j.m.i.MessagingBinders A class jakarta.activation.DataSource for a default provider MessageBodyWriter<jakarta.activation.DataSource> was not found. The provider is not available.
2024-03-17 16:07:36.107 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants t:] o.a.s.s.IndexSchema Loaded schema default-config/1.6 with uniqueid field id
2024-03-17 16:07:36.107 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants t:] o.a.s.c.CoreContainer Creating SolrCore 'restaurants' using configuration from instancedir /var/solr/data/restaurants, trusted=true
2024-03-17 16:07:36.285 INFO  (main) [c: s: r: x: t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2024-03-17 16:07:36.524 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants t:] o.a.s.c.SolrCore Opening new SolrCore at [/var/solr/data/restaurants], dataDir=[/var/solr/data/restaurants/data/]
2024-03-17 16:07:37.812 INFO  (main) [c: s: r: x: t:] o.e.j.s.h.ContextHandler Started o.e.j.w.WebAppContext@5922ae77{solr-jetty-context.xml,/solr,file:///opt/solr-9.5.0/server/solr-webapp/webapp/,AVAILABLE}{/opt/solr-9.5.0/server/solr-webapp/webapp}
2024-03-17 16:07:38.012 INFO  (main) [c: s: r: x: t:] o.e.j.s.RequestLogWriter Opened /var/solr/logs/2024_03_17.request.log
2024-03-17 16:07:38.180 INFO  (main) [c: s: r: x: t:] o.e.j.s.AbstractConnector Started ServerConnector@61884cb1{HTTP/1.1, (http/1.1, h2c)}{0.0.0.0:8983}
2024-03-17 16:07:38.224 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server Started Server@350ec41e{STARTING}[10.0.19,sto=0] @24859ms
2024-03-17 16:07:41.456 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2024-03-17 16:07:41.584 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants t:] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2024-03-17 16:07:41.598 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants t:] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10 numVersionBuckets=65536
2024-03-17 16:07:41.616 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants t:] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2024-03-17 16:07:41.616 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants t:] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2024-03-17 16:07:41.917 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /var/solr/data/restaurants/conf
2024-03-17 16:07:42.040 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants t:] o.a.s.s.DirectSolrSpellChecker init: {name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, accuracy=0.5, maxQueryFrequency=0.01}
2024-03-17 16:07:42.065 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:restaurants t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2024-03-17 16:07:42.069 INFO  (searcherExecutor-13-thread-1-processing-restaurants) [c: s: r: x:restaurants t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-17 16:07:42.069 INFO  (searcherExecutor-13-thread-1-processing-restaurants) [c: s: r: x:restaurants t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-03-17 16:07:42.115 INFO  (searcherExecutor-13-thread-1-processing-restaurants) [c: s: r: x:restaurants t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-17 16:08:55.773 INFO  (qtp1331270134-19-null-2) [c: s: r: x: t:null-2] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710691735719} status=0 QTime=27
2024-03-17 16:08:55.820 INFO  (qtp1331270134-20-null-3) [c: s: r: x: t:null-3] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710691735719} status=0 QTime=59
2024-03-17 16:08:55.870 INFO  (qtp1331270134-27-null-4) [c: s: r: x: t:null-4] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710691735719} status=0 QTime=20
2024-03-17 16:08:57.306 INFO  (qtp1331270134-23-null-5) [c: s: r: x: t:null-5] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710691735719} status=0 QTime=8
2024-03-17 16:08:57.337 INFO  (qtp1331270134-24-null-6) [c: s: r: x: t:null-6] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710691735719} status=0 QTime=41
2024-03-17 16:08:57.340 INFO  (qtp1331270134-18-null-7) [c: s: r: x:restaurants t:null-7] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={action=status&wt=json&_=1710691735719&ts=1710691735719} status=503 QTime=20
2024-03-17 16:08:57.343 INFO  (qtp1331270134-27-null-10) [c: s: r: x:restaurants t:null-10] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&show=index&wt=json&_=1710691737300} status=0 QTime=15
2024-03-17 16:08:57.348 INFO  (qtp1331270134-26-null-9) [c: s: r: x:restaurants t:null-9] o.a.s.c.S.Request webapp=/solr path=/replication params={wt=json&command=details&_=1710691737300} status=0 QTime=21
2024-03-17 16:08:57.359 INFO  (qtp1331270134-21-null-8) [c: s: r: x:restaurants t:null-8] o.a.s.c.S.Request webapp=/solr path=/admin/system params={wt=json&_=1710691737300} status=0 QTime=41
2024-03-17 16:08:59.122 INFO  (qtp1331270134-46-null-13) [c: s: r: x: t:null-13] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710691735719} status=0 QTime=0
2024-03-17 16:08:59.137 INFO  (qtp1331270134-27-null-11) [c: s: r: x:restaurants t:null-11] o.a.s.c.S.Request webapp=/solr path=/config params={wt=json&_=1710691739133} status=0 QTime=20
2024-03-17 16:08:59.155 INFO  (qtp1331270134-24-null-12) [c: s: r: x:restaurants t:null-12] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={show=schema&wt=json&_=1710691737300} status=0 QTime=36
2024-03-17 16:08:59.157 INFO  (qtp1331270134-19-null-14) [c: s: r: x: t:null-14] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710691735719} status=0 QTime=34
2024-03-17 16:08:59.187 INFO  (qtp1331270134-23-null-15) [c: s: r: x:restaurants t:null-15] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&wt=json&_=1710691737300} status=0 QTime=1
2024-03-17 16:09:02.858 INFO  (qtp1331270134-25-null-16) [c: s: r: x:restaurants t:null-16] o.a.s.c.S.Request webapp=/solr path=/config params={wt=json&_=1710691739133} status=0 QTime=5
2024-03-17 16:09:02.858 INFO  (qtp1331270134-24-null-17) [c: s: r: x: t:null-17] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1710691735719} status=0 QTime=5
2024-03-17 16:09:02.872 INFO  (qtp1331270134-26-null-19) [c: s: r: x:restaurants t:null-19] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={show=schema&wt=json&_=1710691737300} status=0 QTime=20
2024-03-17 16:09:02.901 INFO  (qtp1331270134-23-null-20) [c: s: r: x:restaurants t:null-20] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&wt=json&_=1710691737300} status=0 QTime=1
2024-03-17 16:09:02.912 INFO  (qtp1331270134-20-null-18) [c: s: r: x: t:null-18] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1710691735719} status=0 QTime=59
2024-03-17 16:09:25.837 INFO  (qtp1331270134-26-null-21) [c: s: r: x:restaurants t:null-21] o.a.s.s.ManagedIndexSchema Upgraded to managed schema at /var/solr/data/restaurants/conf/managed-schema.xml
2024-03-17 16:09:25.872 INFO  (qtp1331270134-26-null-21) [c: s: r: x:restaurants t:null-21] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.9.0
2024-03-17 16:09:25.883 INFO  (qtp1331270134-26-null-21) [c: s: r: x:restaurants t:null-21] o.a.s.s.IndexSchema Schema name=default-config
2024-03-17 16:09:25.975 INFO  (qtp1331270134-26-null-21) [c: s: r: x:restaurants t:null-21] o.a.s.s.IndexSchema Loaded schema default-config/1.6 with uniqueid field id
2024-03-17 16:09:25.975 INFO  (qtp1331270134-26-null-21) [c: s: r: x:restaurants t:null-21] o.a.s.c.CoreContainer Reloading SolrCore 'restaurants' using configuration from instancedir /var/solr/data/restaurants
2024-03-17 16:09:26.076 INFO  (qtp1331270134-26-null-21) [c: s: r: x:restaurants t:null-21] o.a.s.c.SolrCore Opening new SolrCore at [/var/solr/data/restaurants], dataDir=[/var/solr/data/restaurants/data/]
2024-03-17 16:09:26.156 INFO  (qtp1331270134-26-null-21) [c: s: r: x:restaurants t:null-21] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2024-03-17 16:09:26.156 INFO  (qtp1331270134-26-null-21) [c: s: r: x:restaurants t:null-21] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2024-03-17 16:09:26.165 INFO  (qtp1331270134-26-null-21) [c: s: r: x:restaurants t:null-21] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /var/solr/data/restaurants/conf
2024-03-17 16:09:26.166 INFO  (qtp1331270134-26-null-21) [c: s: r: x:restaurants t:null-21] o.a.s.s.DirectSolrSpellChecker init: {name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, accuracy=0.5, maxQueryFrequency=0.01}
2024-03-17 16:09:26.167 INFO  (qtp1331270134-26-null-21) [c: s: r: x:restaurants t:null-21] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2024-03-17 16:09:26.168 INFO  (searcherExecutor-19-thread-1-processing-restaurants null-21) [c: s: r: x:restaurants t:null-21] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-17 16:09:26.168 INFO  (searcherExecutor-19-thread-1-processing-restaurants null-21) [c: s: r: x:restaurants t:null-21] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-03-17 16:09:26.185 INFO  (searcherExecutor-19-thread-1-processing-restaurants null-21) [c: s: r: x:restaurants t:null-21] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-03-17 16:09:26.186 INFO  (qtp1331270134-26-null-21) [c: s: r: x:restaurants t:null-21] o.a.s.u.DefaultSolrCoreState New IndexWriter is ready to be used.
2024-03-17 16:09:26.189 INFO  (qtp1331270134-26-null-21) [c: s: r: x: t:null-21] o.a.s.c.S.Request webapp=/solr path=/schema params={wt=json&_=1710691739133} status=0 QTime=550
